,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20
O1,X,X,,,,,,,,,,,,,,,,,,
O2,,,X,X,,,,,,,,,,,,,,,,
O3,,,,,X,X,,,,,,,,,,,,,,
O4,,,,,,,X,X,,,,,,,,,,,,
O5,,,,,,,,,X,X,,,,,,,,,,
O6,,,,,,,,,,,X,X,,,,,,,,
O7,,,,,,,,,,,,,X,X,,,,,,
O8,,,,,,,,,,,,,,,X,X,,,,
O9,,,,,,,,,,,,,,,,,X,X,,
O10,,,,,,,,,,,,,,,,,,,X,X
O11,X,X,,,,,,,,,,,,,,,,,,
O12,,,X,X,,,,,,,,,,,,,,,,
O13,,,,,X,X,,,,,,,,,,,,,,
O14,,,,,,,X,X,,,,,,,,,,,,
O15,,,,,,,,,X,X,,,,,,,,,,
O16,,,,,,,,,,,X,X,,,,,,,,
O17,,,,,,,,,,,,,X,X,,,,,,
O18,,,,,,,,,,,,,,,X,X,,,,
O19,,,,,,,,,,,,,,,,,X,X,,
O20,,,,,,,,,,,,,,,,,,,X,X
O21,X,X,,,,,,,,,,,,,,,,,,
O22,,,X,X,,,,,,,,,,,,,,,,
O23,,,,,X,X,,,,,,,,,,,,,,
O24,,,,,,,X,X,,,,,,,,,,,,
O25,,,,,,,,,X,X,,,,,,,,,,
O26,,,,,,,,,,,X,X,,,,,,,,
O27,,,,,,,,,,,,,X,X,,,,,,
O28,,,,,,,,,,,,,,,X,X,,,,
O29,,,,,,,,,,,,,,,,,X,X,,
O30,,,,,,,,,,,,,,,,,,,X,X
O31,X,X,,,,,,,,,,,,,,,,,,
O32,,,X,X,,,,,,,,,,,,,,,,
O33,,,,,X,X,,,,,,,,,,,,,,
O34,,,,,,,X,X,,,,,,,,,,,,
O35,,,,,,,,,X,X,,,,,,,,,,
O36,,,,,,,,,,,X,X,,,,,,,,
O37,,,,,,,,,,,,,X,X,,,,,,
O38,,,,,,,,,,,,,,,X,X,,,,
O39,,,,,,,,,,,,,,,,,X,X,,
O40,,,,,,,,,,,,,,,,,,,X,X
O41,X,X,,,,,,,,,,,,,,,,,,
O42,,,X,X,,,,,,,,,,,,,,,,
O43,,,,,X,X,,,,,,,,,,,,,,
O44,,,,,,,X,X,,,,,,,,,,,,
O45,,,,,,,,,X,X,,,,,,,,,,
O46,,,,,,,,,,,X,X,,,,,,,,
O47,,,,,,,,,,,,,X,X,,,,,,
O48,,,,,,,,,,,,,,,X,X,,,,
O49,,,,,,,,,,,,,,,,,X,X,,
O50,,,,,,,,,,,,,,,,,,,X,X
